time,loc,vehicle,fare,disc,drivers
21:07:33,34,14ft,2704,0.0,8
21:07:33,34,14ft (Open),2704,0.0,6
21:07:33,34,17ft,3205,0.0,4
21:07:33,34,19ft,3785,0.0,1
21:07:48,35,2 Wheeler,88,7.0,8
21:07:48,35,3 Wheeler,406,0.0,8
21:07:48,35,Tata Ace,656,0.0,8
21:07:48,35,Eeco,506,0.0,7
21:07:48,35,Pickup 8ft,815,0.0,8
21:07:48,35,E Loader,312,0.0,8
21:07:48,35,10ft,1307,0.0,5
21:07:48,35,14ft (Closed),2557,0.0,3
21:07:48,35,14ft,2662,0.0,8
21:07:48,35,14ft (Open),2662,0.0,7
21:07:48,35,17ft,3165,0.0,5
21:07:48,35,19ft,3745,0.0,1
21:08:00,36,2 Wheeler,86,7.0,8
21:08:00,36,3 Wheeler,400,0.0,8
21:08:00,36,Tata Ace,648,0.0,8
21:08:00,36,Eeco,498,0.0,7
21:08:00,36,Pickup 8ft,804,0.0,8
21:08:00,36,E Loader,306,0.0,8
21:08:00,36,10ft,1293,0.0,5
21:08:00,36,14ft (Closed),2538,0.0,3
21:08:00,36,14ft,2640,0.0,8
21:08:00,36,14ft (Open),2640,0.0,7
21:08:00,36,17ft,3160,0.0,5
21:08:00,36,19ft,3740,0.0,1
21:08:12,37,2 Wheeler,82,7.0,8
21:08:12,37,3 Wheeler,386,0.0,8
21:08:12,37,Tata Ace,579,0.0,8
21:08:12,37,Eeco,482,0.0,4
21:08:12,37,Pickup 8ft,783,0.0,8
21:08:12,37,E Loader,293,0.0,8
21:08:12,37,10ft,1263,0.0,7
21:08:12,37,14ft (Closed),2503,0.0,4
21:08:12,37,14ft,2600,0.0,8
21:08:12,37,14ft (Open),2600,0.0,6
21:08:12,37,17ft,3146,0.0,4
21:08:12,37,19ft,3726,0.0,1
21:08:27,38,2 Wheeler,88,7.0,8
21:08:27,38,3 Wheeler,409,0.0,8
21:08:27,38,Tata Ace,657,0.0,8
21:08:27,38,Eeco,507,0.0,7
21:08:27,38,Pickup 8ft,814,0.0,8
21:08:27,38,E Loader,315,0.0,8
21:08:27,38,10ft,1308,0.0,5
21:08:27,38,14ft (Closed),2551,0.0,4
21:08:27,38,14ft,2654,0.0,8
21:08:27,38,14ft (Open),2654,0.0,6
21:08:27,38,17ft,3173,0.0,6
21:08:27,38,19ft,3753,0.0,1
21:08:40,39,2 Wheeler,83,7.0,8
21:08:40,39,3 Wheeler,389,0.0,8
21:08:40,39,Tata Ace,632,0.0,8
21:08:40,39,Eeco,485,0.0,8
21:08:40,39,Pickup 8ft,786,0.0,8
21:08:40,39,E Loader,296,0.0,8
21:08:40,39,10ft,1268,0.0,8
21:08:40,39,14ft (Closed),2507,0.0,6
